edition,id,author,username,url,title,has_video,video_count,created_at,body
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTk1OF0=,,,https://contra.com/community/kbE3sMqm-optimize-your-ui-health-with-ui,UI Vitals is a design tool that checks your UI's health. Think of it like a doct,False,0,2025-09-11T06:58:44,"UI Vitals is a design tool that checks your UI's health. Think of it like a doctor for your designs. It looks for issues in things like spacing and colors, so you can fix them before you share your work. Just upload your Figma file, and it gives you a simple report. This helps you make sure your des"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTg5OV0=,,,https://contra.com/community/csPkMl22-master-figma-skills-with-gamified-learning, FigmaArcade is a gamified learning platform that transform your design educatio,False,0,2025-09-11T06:56:31," FigmaArcade is a gamified learning platform that transform your design education into an exciting adventure. Instead of passive tutorials you will embark on quests and challenges to master Figma, 1 skill at a time. As you complete you challenges you will rewarded with points, collect badges and get"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTg1MF0=,,,https://contra.com/community/qEsBobv2-discover-contra-quest-innovative-gamified-learning-platform,✨ ContraQuest – Gamified Learning PlatformEvery creator here is doing amazing wo,False,0,2025-09-11T06:52:51,"✨ ContraQuest – Gamified Learning PlatformEvery creator here is doing amazing work 👏. In my case, I wanted to design something for the future of learning. Many students struggle with boring, theory-heavy lessons, so I created ContraQuest — a gamified e-learning platform where students earn XP, solve"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTU1Ml0=,,,https://contra.com/community/3ZgY3RU7-survive-dark-forests-in-the-last,The Last CabinYou walk alone through a dark forest… but you’re not alone at all.,False,0,2025-09-11T05:29:20,"The Last CabinYou walk alone through a dark forest… but you’re not alone at all. Creatures will stalk you all the way to the Cabin with footsteps, screams, and whispers. Your only defense: Unknown... 

Goal: reach the cabin, survive encounters. Details & rules:  

Hackathon Entry 
Submitting The Las"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MDIzMl0=,,,https://contra.com/community/FOMkMMBP-explore-creative-writing-with-first-lines,Final drop with First Lines. I hope this tool gets some of you itching to write ,False,0,2025-09-10T16:22:26,"Final drop with First Lines. I hope this tool gets some of you itching to write and that with time it will turn into a space where we all mess around with ideas, keep our brains sharp, and maybe even write full stories (building on those post topic starters). A little community could spark some cool"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTQ4Nl0=,,,https://contra.com/community/vqZNe7Ms-join-the-interactive-love-triangle-game,"One last submission! 
Considering Summer ends next week for those of us watching",False,0,2025-09-11T05:02:55,"One last submission! 
Considering Summer ends next week for those of us watching TSITP for these last two months I 
built the Love Triangle Choices game
An interactive summer fandom game where every vote shapes the story — Team Belly, Team Conrad, or Team Jeremiah.
Pick your side, make choices, and "
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTEzNV0=,,,https://contra.com/community/QUqoEURg-believe-no-good-food-should-ever,"With last few hours to go, I kinda decided my problem statement 🙃 😅 I believe no",True,1,2025-09-11T01:21:46,"With last few hours to go, I kinda decided my problem statement 🙃 😅 I believe no good food should ever go to waste while people around us go hungry. That’s why I created this web application —to connect restaurants, grocery stores, and even households with anyone nearby who can use their surplus foo"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw2ODQ3Ml0=,,,https://contra.com/community/E3rmEYUN-revolutionize-podcasting-un-contrad-app-with-unique,"BTS of  as an app with features built to make listening…

Social
Interactive
Com",True,1,2025-09-09T06:22:15,"BTS of  as an app with features built to make listening…

Social
Interactive
Community-driven  Real-time chat reactions and emojis while you listen Timestamp comments you can revisit anytime Community polls during episodes AI-generated recaps so you can catch up in 30 seconds Listener streaks + badg"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTk1Ml0=,,,https://contra.com/community/MX3mgcUX-discover-unity-with-enantiodromia-historical-guidance,"Enantiodromia is an app where you can share your struggles, finding solace in th",False,0,2025-09-11T06:58:36,"Enantiodromia is an app where you can share your struggles, finding solace in the universal human experience through historical texts and scriptures. It symbolizes a global family walking a timeless path together, transforming challenges into unity.

The app was 100% built in Figma Make. The majorit"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTg4NF0=,,,https://contra.com/community/MU6OM7EO-test-your-scrolling-skills-in-our,"🧟 You spend all day scrolling feeds, but how good are you at it, really?

🏆 Prov",False,0,2025-09-11T06:55:39,"🧟 You spend all day scrolling feeds, but how good are you at it, really?

🏆 Prove yourself in this game where you have to scroll to the 1,000th post!

🤔 Are you skilled enough to make it?

🧑‍💻 [designed for web].
"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTg3NF0=,,,https://contra.com/community/OqX67lRm-transform-habits-with-habit-horizons-your,Struggling to turn good intentions into lasting habits? Habit Horizons isn’t jus,False,0,2025-09-11T06:54:37,"Struggling to turn good intentions into lasting habits? Habit Horizons isn’t just another tracker—it’s a creative, psychology-backed companion designed to make change stick.What makes it different:Mindful Explorer – Guided micro-meditations and gratitude prompts to build emotional resilience.Stronge"
Figma Make-a-thon (Sep 2025),WyJTb2NpYWxQb3N0Iiw3MTczMF0=,,,https://contra.com/community/FMYPOcb2-innovative-figma-makeathon-project-lifes-settings,"About 36 hours before the deadline, I got reminded about the #FigmaMakeathon.No ",False,0,2025-09-11T06:28:20,"About 36 hours before the deadline, I got reminded about the #FigmaMakeathon.No big plan, just one thought stuck in my head: what if life had a Settings page?That’s how  came to life.Almost everything: transitions, animations, flows was built directly in Figma Make. No extra tools. Just pushing the "
